stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,events_list,lineup_home,lineup_away
 Final , 29.05.2021 ,False,False,False, Manchester City , Chelsea ,0,1,61%, 39% ,7, 8 ,1, 2 ,50%, 50% ,"[{'event_team': 'home', 'event_time': "" 34' "", 'event_type': 'Yellow card', 'action_player_1': ' Ilkay Gündogan '}, {'event_team': 'away', 'event_time': "" 39' "", 'event_type': 'Substitution', 'action_player_1': ' Andreas Christensen ', 'action_player_2': ' Thiago Silva '}, {'event_team': 'away', 'event_time': "" 42' "", 'event_type': 'Goal', 'action_player_1': ' Kai Havertz ', 'action_player_2': ' Mason Mount '}, {'event_team': 'away', 'event_time': "" 57' "", 'event_type': 'Yellow card', 'action_player_1': ' Antonio Rüdiger '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Gabriel Jesus ', 'action_player_2': ' Kevin De Bruyne '}, {'event_team': 'home', 'event_time': "" 64' "", 'event_type': 'Substitution', 'action_player_1': ' Fernandinho ', 'action_player_2': ' Bernardo Silva '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Christian Pulisic ', 'action_player_2': ' Timo Werner '}, {'event_team': 'home', 'event_time': "" 77' "", 'event_type': 'Substitution', 'action_player_1': ' Sergio Agüero ', 'action_player_2': ' Raheem Sterling '}, {'event_team': 'away', 'event_time': "" 80' "", 'event_type': 'Substitution', 'action_player_1': ' Mateo Kovacic ', 'action_player_2': ' Mason Mount '}, {'event_team': 'home', 'event_time': "" 88' "", 'event_type': 'Yellow card', 'action_player_1': ' Gabriel Jesus '}]","[{'Player_Name': 'Sterling', 'Player_Number': '7'}, {'Player_Name': 'De Bruyne', 'Player_Number': '17'}, {'Player_Name': 'Mahrez', 'Player_Number': '26'}, {'Player_Name': 'Foden', 'Player_Number': '47'}, {'Player_Name': 'Gündogan', 'Player_Number': '8'}, {'Player_Name': 'Silva', 'Player_Number': '20'}, {'Player_Name': 'Zinchenko', 'Player_Number': '11'}, {'Player_Name': 'Dias', 'Player_Number': '3'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Ederson', 'Player_Number': '31'}]","[{'Player_Name': 'Werner', 'Player_Number': '11'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Havertz', 'Player_Number': '29'}, {'Player_Name': 'Chilwell', 'Player_Number': '21'}, {'Player_Name': 'Jorginho', 'Player_Number': '5'}, {'Player_Name': 'Kanté', 'Player_Number': '7'}, {'Player_Name': 'James', 'Player_Number': '24'}, {'Player_Name': 'Rüdiger', 'Player_Number': '2'}, {'Player_Name': 'Silva', 'Player_Number': '6'}, {'Player_Name': 'Azpilicueta', 'Player_Number': '28'}, {'Player_Name': 'Mendy', 'Player_Number': '16'}]"
 Semi-finals second leg , 05.05.2021 ,False,False,False, Chelsea , Real Madrid ,2,0,32%, 68% ,15, 7 ,5, 5 ,52%, 49% ,"[{'event_team': 'home', 'event_time': "" 14' "", 'event_type': 'Yellow card', 'action_player_1': ' Jorginho '}, {'event_team': 'home', 'event_time': "" 28' "", 'event_type': 'Goal', 'action_player_1': ' Timo Werner '}, {'event_team': 'away', 'event_time': "" 37' "", 'event_type': 'Yellow card', 'action_player_1': ' Sergio Ramos '}, {'event_team': 'home', 'event_time': "" 39' "", 'event_type': 'Yellow card', 'action_player_1': ' Andreas Christensen '}, {'event_team': 'away', 'event_time': "" 62' "", 'event_type': 'Yellow card', 'action_player_1': ' Nacho '}, {'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Federico Valverde ', 'action_player_2': ' Ferland Mendy '}, {'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Marco Asensio ', 'action_player_2': ' Vinicius Junior '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Christian Pulisic ', 'action_player_2': ' Timo Werner '}, {'event_team': 'away', 'event_time': "" 72' "", 'event_type': 'Yellow card', 'action_player_1': ' Toni Kroos '}, {'event_team': 'away', 'event_time': "" 76' "", 'event_type': 'Substitution', 'action_player_1': ' Rodrygo ', 'action_player_2': ' Casemiro '}, {'event_team': 'home', 'event_time': "" 85' "", 'event_type': 'Goal', 'action_player_1': ' Mason Mount ', 'action_player_2': ' Christian Pulisic '}, {'event_team': 'home', 'event_time': "" 87' "", 'event_type': 'Yellow card', 'action_player_1': ' Mason Mount '}, {'event_team': 'home', 'event_time': "" 88' "", 'event_type': 'Substitution', 'action_player_1': ' Reece James ', 'action_player_2': ' Cesar Azpilicueta '}, {'event_team': 'home', 'event_time': "" 88' "", 'event_type': 'Substitution', 'action_player_1': ' Hakim Ziyech ', 'action_player_2': ' Mason Mount '}, {'event_team': 'away', 'event_time': "" 89' "", 'event_type': 'Substitution', 'action_player_1': ' Mariano Diaz ', 'action_player_2': ' Eden Hazard '}, {'event_team': 'away', 'event_time': "" 90' "", 'event_type': 'Yellow card', 'action_player_1': ' Federico Valverde '}, {'event_team': 'home', 'event_time': "" 94' "", 'event_type': 'Substitution', 'action_player_1': ' Olivier Giroud ', 'action_player_2': ' Kai Havertz '}]","[{'Player_Name': 'Werner', 'Player_Number': '11'}, {'Player_Name': 'Havertz', 'Player_Number': '29'}, {'Player_Name': 'Chilwell', 'Player_Number': '21'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Kanté', 'Player_Number': '7'}, {'Player_Name': 'Azpilicueta', 'Player_Number': '28'}, {'Player_Name': 'Jorginho', 'Player_Number': '5'}, {'Player_Name': 'Rüdiger', 'Player_Number': '2'}, {'Player_Name': 'Silva', 'Player_Number': '6'}, {'Player_Name': 'Christensen', 'Player_Number': '4'}, {'Player_Name': 'Mendy', 'Player_Number': '16'}]","[{'Player_Name': 'Hazard', 'Player_Number': '7'}, {'Player_Name': 'Benzema', 'Player_Number': '9'}, {'Player_Name': 'Mendy', 'Player_Number': '23'}, {'Player_Name': 'Kroos', 'Player_Number': '8'}, {'Player_Name': 'Casemiro', 'Player_Number': '14'}, {'Player_Name': 'Modric', 'Player_Number': '10'}, {'Player_Name': 'Junior', 'Player_Number': '20'}, {'Player_Name': 'Nacho', 'Player_Number': '6'}, {'Player_Name': 'Ramos', 'Player_Number': '4'}, {'Player_Name': 'Eder Militão', 'Player_Number': '3'}, {'Player_Name': 'Courtois', 'Player_Number': '1'}]"
 Semi-finals second leg , 04.05.2021 ,False,False,False, Manchester City , PSG ,2,0,44%, 56% ,12, 14 ,5, 0 ,53%, 47% ,"[{'event_team': 'home', 'event_time': "" 11' "", 'event_type': 'Goal', 'action_player_1': ' Riyad Mahrez '}, {'event_team': 'away', 'event_time': "" 22' "", 'event_type': 'Yellow card', 'action_player_1': ' Ander Herrera '}, {'event_team': 'away', 'event_time': "" 62' "", 'event_type': 'Substitution', 'action_player_1': ' Moise Kean ', 'action_player_2': ' Mauro Icardi '}, {'event_team': 'away', 'event_time': "" 62' "", 'event_type': 'Substitution', 'action_player_1': ' Julian Draxler ', 'action_player_2': ' Ander Herrera '}, {'event_team': 'home', 'event_time': "" 63' "", 'event_type': 'Goal', 'action_player_1': ' Riyad Mahrez ', 'action_player_2': ' Philip Foden '}, {'event_team': 'away', 'event_time': "" 69' "", 'event_type': 'Red card', 'action_player_1': ' Angel Di Maria '}, {'event_team': 'home', 'event_time': "" 71' "", 'event_type': 'Yellow card', 'action_player_1': ' Olexandr Zinchenko '}, {'event_team': 'away', 'event_time': "" 71' "", 'event_type': 'Yellow card', 'action_player_1': ' Marco Verratti '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Yellow card', 'action_player_1': ' Kevin De Bruyne '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Danilo Pereira ', 'action_player_2': ' Leandro Paredes '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Colin Dagba ', 'action_player_2': ' Alessandro Florenzi '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Gabriel Jesus ', 'action_player_2': ' Kevin De Bruyne '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Raheem Sterling ', 'action_player_2': ' Bernardo Silva '}, {'event_team': 'away', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Mitchel Bakker ', 'action_player_2': ' Abdou Diallo '}, {'event_team': 'home', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Sergio Agüero ', 'action_player_2': ' Philip Foden '}, {'event_team': 'away', 'event_time': "" 87' "", 'event_type': 'Yellow card', 'action_player_1': ' Presnel Kimpembe '}, {'event_team': 'away', 'event_time': "" 89' "", 'event_type': 'Yellow card', 'action_player_1': ' Danilo Pereira '}]","[{'Player_Name': 'Silva', 'Player_Number': '20'}, {'Player_Name': 'De Bruyne', 'Player_Number': '17'}, {'Player_Name': 'Foden', 'Player_Number': '47'}, {'Player_Name': 'Gündogan', 'Player_Number': '8'}, {'Player_Name': 'Fernandinho', 'Player_Number': '25'}, {'Player_Name': 'Mahrez', 'Player_Number': '26'}, {'Player_Name': 'Zinchenko', 'Player_Number': '11'}, {'Player_Name': 'Dias', 'Player_Number': '3'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Ederson', 'Player_Number': '31'}]","[{'Player_Name': 'Neymar', 'Player_Number': '10'}, {'Player_Name': 'Icardi', 'Player_Number': '9'}, {'Player_Name': 'Di Maria', 'Player_Number': '11'}, {'Player_Name': 'Verratti', 'Player_Number': '6'}, {'Player_Name': 'Paredes', 'Player_Number': '8'}, {'Player_Name': 'Herrera', 'Player_Number': '21'}, {'Player_Name': 'Diallo', 'Player_Number': '22'}, {'Player_Name': 'Kimpembe', 'Player_Number': '3'}, {'Player_Name': 'Marquinhos', 'Player_Number': '5'}, {'Player_Name': 'Florenzi', 'Player_Number': '24'}, {'Player_Name': 'Navas', 'Player_Number': '1'}]"
 Semi-finals first leg , 28.04.2021 ,False,False,False, PSG , Manchester City ,1,2,40%, 60% ,10, 11 ,4, 6 ,47%, 53% ,"[{'event_team': 'home', 'event_time': "" 15' "", 'event_type': 'Goal', 'action_player_1': ' Marquinhos ', 'action_player_2': ' Angel Di Maria '}, {'event_team': 'away', 'event_time': "" 31' "", 'event_type': 'Yellow card', 'action_player_1': ' Joao Cancelo '}, {'event_team': 'away', 'event_time': "" 61' "", 'event_type': 'Substitution', 'action_player_1': ' Olexandr Zinchenko ', 'action_player_2': ' Joao Cancelo '}, {'event_team': 'away', 'event_time': "" 64' "", 'event_type': 'Goal', 'action_player_1': ' Kevin De Bruyne ', 'action_player_2': ' Olexandr Zinchenko '}, {'event_team': 'home', 'event_time': "" 70' "", 'event_type': 'Yellow card', 'action_player_1': ' Leandro Paredes '}, {'event_team': 'away', 'event_time': "" 71' "", 'event_type': 'Goal', 'action_player_1': ' Riyad Mahrez '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Yellow card', 'action_player_1': ' Neymar '}, {'event_team': 'home', 'event_time': "" 77' "", 'event_type': 'Red card', 'action_player_1': ' Idrissa Gueye '}, {'event_team': 'home', 'event_time': "" 80' "", 'event_type': 'Substitution', 'action_player_1': ' Danilo Pereira ', 'action_player_2': ' Angel Di Maria '}, {'event_team': 'home', 'event_time': "" 83' "", 'event_type': 'Substitution', 'action_player_1': ' Ander Herrera ', 'action_player_2': ' Leandro Paredes '}, {'event_team': 'away', 'event_time': "" 86' "", 'event_type': 'Yellow card', 'action_player_1': ' Kevin De Bruyne '}]","[{'Player_Name': 'Mbappe', 'Player_Number': '7'}, {'Player_Name': 'Verratti', 'Player_Number': '6'}, {'Player_Name': 'Neymar', 'Player_Number': '10'}, {'Player_Name': 'Di Maria', 'Player_Number': '11'}, {'Player_Name': 'Paredes', 'Player_Number': '8'}, {'Player_Name': 'Gueye', 'Player_Number': '27'}, {'Player_Name': 'Bakker', 'Player_Number': '25'}, {'Player_Name': 'Kimpembe', 'Player_Number': '3'}, {'Player_Name': 'Marquinhos', 'Player_Number': '5'}, {'Player_Name': 'Florenzi', 'Player_Number': '24'}, {'Player_Name': 'Navas', 'Player_Number': '1'}]","[{'Player_Name': 'Foden', 'Player_Number': '47'}, {'Player_Name': 'De Bruyne', 'Player_Number': '17'}, {'Player_Name': 'Mahrez', 'Player_Number': '26'}, {'Player_Name': 'Gündogan', 'Player_Number': '8'}, {'Player_Name': 'Rodri', 'Player_Number': '16'}, {'Player_Name': 'Silva', 'Player_Number': '20'}, {'Player_Name': 'Cancelo', 'Player_Number': '27'}, {'Player_Name': 'Dias', 'Player_Number': '3'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Ederson', 'Player_Number': '31'}]"
 Semi-finals first leg , 27.04.2021 ,False,False,False, Real Madrid , Chelsea ,1,1,51%, 49% ,9, 11 ,1, 5 ,49%, 52% ,"[{'event_team': 'away', 'event_time': "" 14' "", 'event_type': 'Goal', 'action_player_1': ' Christian Pulisic ', 'action_player_2': ' Antonio Rüdiger '}, {'event_team': 'home', 'event_time': "" 27' "", 'event_type': 'Yellow card', 'action_player_1': ' Vinicius Junior '}, {'event_team': 'home', 'event_time': "" 29' "", 'event_type': 'Goal', 'action_player_1': ' Karim Benzema ', 'action_player_2': ' Eder Militão '}, {'event_team': 'away', 'event_time': "" 38' "", 'event_type': 'Yellow card', 'action_player_1': ' Christian Pulisic '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Yellow card', 'action_player_1': ' Toni Kroos '}, {'event_team': 'home', 'event_time': "" 65' "", 'event_type': 'Yellow card', 'action_player_1': ' Marcelo '}, {'event_team': 'home', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Eden Hazard ', 'action_player_2': ' Vinicius Junior '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Hakim Ziyech ', 'action_player_2': ' Christian Pulisic '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Kai Havertz ', 'action_player_2': ' Timo Werner '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Reece James ', 'action_player_2': ' Cesar Azpilicueta '}, {'event_team': 'home', 'event_time': "" 77' "", 'event_type': 'Substitution', 'action_player_1': ' Alvaro Odriozola ', 'action_player_2': ' Dani Carvajal '}, {'event_team': 'home', 'event_time': "" 77' "", 'event_type': 'Substitution', 'action_player_1': ' Marco Asensio ', 'action_player_2': ' Marcelo '}, {'event_team': 'home', 'event_time': "" 78' "", 'event_type': 'Yellow card', 'action_player_1': ' Raphael Varane '}, {'event_team': 'home', 'event_time': "" 89' "", 'event_type': 'Yellow card', 'action_player_1': ' Alvaro Odriozola '}, {'event_team': 'home', 'event_time': "" 92' "", 'event_type': 'Substitution', 'action_player_1': ' Rodrygo ', 'action_player_2': ' Karim Benzema '}]","[{'Player_Name': 'Junior', 'Player_Number': '20'}, {'Player_Name': 'Benzema', 'Player_Number': '9'}, {'Player_Name': 'Marcelo', 'Player_Number': '12'}, {'Player_Name': 'Kroos', 'Player_Number': '8'}, {'Player_Name': 'Casemiro', 'Player_Number': '14'}, {'Player_Name': 'Modric', 'Player_Number': '10'}, {'Player_Name': 'Carvajal', 'Player_Number': '2'}, {'Player_Name': 'Nacho', 'Player_Number': '6'}, {'Player_Name': 'Varane', 'Player_Number': '5'}, {'Player_Name': 'Eder Militão', 'Player_Number': '3'}, {'Player_Name': 'Courtois', 'Player_Number': '1'}]","[{'Player_Name': 'Werner', 'Player_Number': '11'}, {'Player_Name': 'Pulisic', 'Player_Number': '10'}, {'Player_Name': 'Chilwell', 'Player_Number': '21'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Jorginho', 'Player_Number': '5'}, {'Player_Name': 'Kanté', 'Player_Number': '7'}, {'Player_Name': 'Azpilicueta', 'Player_Number': '28'}, {'Player_Name': 'Rüdiger', 'Player_Number': '2'}, {'Player_Name': 'Silva', 'Player_Number': '6'}, {'Player_Name': 'Christensen', 'Player_Number': '4'}, {'Player_Name': 'Mendy', 'Player_Number': '16'}]"
 Quarter-finals second leg , 14.04.2021 ,False,False,False, Liverpool , Real Madrid ,0,0,57%, 43% ,15, 6 ,4, 2 ,50%, 50% ,"[{'event_team': 'away', 'event_time': "" 25' "", 'event_type': 'Yellow card', 'action_player_1': ' Casemiro '}, {'event_team': 'home', 'event_time': "" 25' "", 'event_type': 'Yellow card', 'action_player_1': ' Andrew Robertson '}, {'event_team': 'home', 'event_time': "" 59' "", 'event_type': 'Yellow card', 'action_player_1': ' Nathaniel Phillips '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Thiago Alcantara ', 'action_player_2': ' James Milner '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Diogo Jota ', 'action_player_2': ' Ozan Kabak '}, {'event_team': 'away', 'event_time': "" 72' "", 'event_type': 'Substitution', 'action_player_1': ' Alvaro Odriozola ', 'action_player_2': ' Toni Kroos '}, {'event_team': 'away', 'event_time': "" 72' "", 'event_type': 'Substitution', 'action_player_1': ' Rodrygo ', 'action_player_2': ' Vinicius Junior '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Alex Oxlade-Chamberlain ', 'action_player_2': ' Sadio Mane '}, {'event_team': 'away', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Isco ', 'action_player_2': ' Marco Asensio '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Xherdan Shaqiri ', 'action_player_2': ' Roberto Firmino '}]","[{'Player_Name': 'Mane', 'Player_Number': '10'}, {'Player_Name': 'Firmino', 'Player_Number': '9'}, {'Player_Name': 'Salah', 'Player_Number': '11'}, {'Player_Name': 'Milner', 'Player_Number': '7'}, {'Player_Name': 'Fabinho', 'Player_Number': '3'}, {'Player_Name': 'Wijnaldum', 'Player_Number': '5'}, {'Player_Name': 'Robertson', 'Player_Number': '26'}, {'Player_Name': 'Kabak', 'Player_Number': '19'}, {'Player_Name': 'Phillips', 'Player_Number': '47'}, {'Player_Name': 'Alexander-Arnold', 'Player_Number': '66'}, {'Player_Name': 'Alisson', 'Player_Number': '1'}]","[{'Player_Name': 'Junior', 'Player_Number': '20'}, {'Player_Name': 'Benzema', 'Player_Number': '9'}, {'Player_Name': 'Asensio', 'Player_Number': '11'}, {'Player_Name': 'Kroos', 'Player_Number': '8'}, {'Player_Name': 'Casemiro', 'Player_Number': '14'}, {'Player_Name': 'Modric', 'Player_Number': '10'}, {'Player_Name': 'Mendy', 'Player_Number': '23'}, {'Player_Name': 'Nacho', 'Player_Number': '6'}, {'Player_Name': 'Eder Militão', 'Player_Number': '3'}, {'Player_Name': 'Valverde', 'Player_Number': '15'}, {'Player_Name': 'Courtois', 'Player_Number': '1'}]"
 Quarter-finals second leg , 14.04.2021 ,False,False,False, Borussia Dortmund , Manchester City ,1,2,38%, 62% ,10, 17 ,3, 5 ,42%, 58% ,"[{'event_team': 'home', 'event_time': "" 15' "", 'event_type': 'Goal', 'action_player_1': ' Jude Bellingham '}, {'event_team': 'home', 'event_time': "" 39' "", 'event_type': 'Yellow card', 'action_player_1': ' Jude Bellingham '}, {'event_team': 'away', 'event_time': "" 55' "", 'event_type': 'Penalty', 'action_player_1': ' Riyad Mahrez ', 'action_player_2': ' Penalty '}, {'event_team': 'home', 'event_time': "" 68' "", 'event_type': 'Substitution', 'action_player_1': ' Giovanni Reyna ', 'action_player_2': ' Ansgar Knauff '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Goal', 'action_player_1': ' Philip Foden ', 'action_player_2': ' Bernardo Silva '}, {'event_team': 'home', 'event_time': "" 76' "", 'event_type': 'Substitution', 'action_player_1': ' Thorgan Hazard ', 'action_player_2': ' Mahmoud Dahoud '}, {'event_team': 'home', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Julian Brandt ', 'action_player_2': ' Jude Bellingham '}, {'event_team': 'home', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Steffen Tigges ', 'action_player_2': ' Mateu Morey '}, {'event_team': 'away', 'event_time': "" 88' "", 'event_type': 'Substitution', 'action_player_1': ' Raheem Sterling ', 'action_player_2': ' Riyad Mahrez '}]","[{'Player_Name': 'Reus', 'Player_Number': '11'}, {'Player_Name': 'Haaland', 'Player_Number': '9'}, {'Player_Name': 'Knauff', 'Player_Number': '36'}, {'Player_Name': 'Dahoud', 'Player_Number': '8'}, {'Player_Name': 'Can', 'Player_Number': '23'}, {'Player_Name': 'Bellingham', 'Player_Number': '22'}, {'Player_Name': 'Guerreiro', 'Player_Number': '13'}, {'Player_Name': 'Hummels', 'Player_Number': '15'}, {'Player_Name': 'Akanji', 'Player_Number': '16'}, {'Player_Name': 'Morey Bauzà', 'Player_Number': '2'}, {'Player_Name': 'Hitz', 'Player_Number': '35'}]","[{'Player_Name': 'Foden', 'Player_Number': '47'}, {'Player_Name': 'De Bruyne', 'Player_Number': '17'}, {'Player_Name': 'Mahrez', 'Player_Number': '26'}, {'Player_Name': 'Gündogan', 'Player_Number': '8'}, {'Player_Name': 'Rodri', 'Player_Number': '16'}, {'Player_Name': 'Silva', 'Player_Number': '20'}, {'Player_Name': 'Zinchenko', 'Player_Number': '11'}, {'Player_Name': 'Dias', 'Player_Number': '3'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Ederson', 'Player_Number': '31'}]"
 Quarter-finals second leg , 13.04.2021 ,False,False,False, PSG , Bayern Munich ,0,1,44%, 56% ,10, 14 ,3, 5 ,54%, 46% ,"[{'event_team': 'away', 'event_time': "" 40' "", 'event_type': 'Goal', 'action_player_1': ' Eric Choupo-Moting '}, {'event_team': 'away', 'event_time': "" 52' "", 'event_type': 'Yellow card', 'action_player_1': ' David Alaba '}, {'event_team': 'home', 'event_time': "" 55' "", 'event_type': 'Yellow card', 'action_player_1': ' Colin Dagba '}, {'event_team': 'home', 'event_time': "" 58' "", 'event_type': 'Substitution', 'action_player_1': ' Mitchel Bakker ', 'action_player_2': ' Abdou Diallo '}, {'event_team': 'away', 'event_time': "" 68' "", 'event_type': 'Yellow card', 'action_player_1': ' Thomas Müller '}, {'event_team': 'away', 'event_time': "" 71' "", 'event_type': 'Substitution', 'action_player_1': ' Jamal Musiala ', 'action_player_2': ' Alphonso Davies '}, {'event_team': 'home', 'event_time': "" 73' "", 'event_type': 'Substitution', 'action_player_1': ' Moise Kean ', 'action_player_2': ' Julian Draxler '}, {'event_team': 'away', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Javi Martinez ', 'action_player_2': ' Eric Choupo-Moting '}, {'event_team': 'home', 'event_time': "" 88' "", 'event_type': 'Substitution', 'action_player_1': ' Ander Herrera ', 'action_player_2': ' Angel Di Maria '}, {'event_team': 'home', 'event_time': "" 90' "", 'event_type': 'Yellow card', 'action_player_1': ' Ander Herrera '}]","[{'Player_Name': 'Mbappe', 'Player_Number': '7'}, {'Player_Name': 'Draxler', 'Player_Number': '23'}, {'Player_Name': 'Neymar', 'Player_Number': '10'}, {'Player_Name': 'Di Maria', 'Player_Number': '11'}, {'Player_Name': 'Paredes', 'Player_Number': '8'}, {'Player_Name': 'Gueye', 'Player_Number': '27'}, {'Player_Name': 'Diallo', 'Player_Number': '22'}, {'Player_Name': 'Kimpembe', 'Player_Number': '3'}, {'Player_Name': 'Pereira', 'Player_Number': '15'}, {'Player_Name': 'Dagba', 'Player_Number': '31'}, {'Player_Name': 'Navas', 'Player_Number': '1'}]","[{'Player_Name': 'Choupo-Moting', 'Player_Number': '13'}, {'Player_Name': 'Coman', 'Player_Number': '29'}, {'Player_Name': 'Müller', 'Player_Number': '25'}, {'Player_Name': 'Sane', 'Player_Number': '10'}, {'Player_Name': 'Alaba', 'Player_Number': '27'}, {'Player_Name': 'Kimmich', 'Player_Number': '6'}, {'Player_Name': 'Davies', 'Player_Number': '19'}, {'Player_Name': 'Hernandez', 'Player_Number': '21'}, {'Player_Name': 'Boateng', 'Player_Number': '17'}, {'Player_Name': 'Pavard', 'Player_Number': '5'}, {'Player_Name': 'Neuer', 'Player_Number': '1'}]"
